date,cpi,gs10,indpro,tb3ms,unrate,usrec,termspread,unrate_lag1,unrate_lag3,unrate_lag6,cpi_lag1,cpi_lag3,cpi_lag6,indpro_lag1,indpro_lag3,indpro_lag6,gs10_lag1,gs10_lag3,gs10_lag6,tb3ms_lag1,tb3ms_lag3,tb3ms_lag6,termspread_lag1,termspread_lag3,termspread_lag6,unrate_change,indpro_growth,cpi_yoy,gs10_change,tb3ms_change,termspread_change,unrate_ma3,indpro_ma3,unrate_ma6,indpro_ma6,unrate_momentum,indpro_momentum
1954-04-01,26.86,2.29,17.9337,0.97,5.9,1,1.32,5.7,4.9,3.1,26.93,26.94,26.95,18.0414,18.0953,19.1455,2.37,2.48,2.66,1.03,1.18,1.38,1.34,1.3,1.2800000000000002,0.20000000000000018,-0.005969603245867705,0.006369426751592355,-0.08000000000000007,-0.06000000000000005,-0.020000000000000018,5.6000000000000005,18.041433333333334,4.95,18.189533333333333,0.2999999999999998,-0.10773333333333213
1954-05-01,26.93,2.37,18.0414,0.76,5.9,1,1.61,5.9,5.2,3.5,26.86,26.99,26.85,17.9337,18.1492,18.6877,2.29,2.47,2.68,0.97,0.97,1.44,1.32,1.5000000000000002,1.2400000000000002,0.0,0.006005453420097284,0.008614232209737782,0.08000000000000007,-0.20999999999999996,0.29000000000000004,5.833333333333335,18.005499999999998,5.3500000000000005,18.08181666666667,0.06666666666666554,0.0359000000000016
1954-06-01,26.94,2.38,18.0953,0.64,5.6,0,1.7399999999999998,5.9,5.7,4.5,26.93,26.93,26.87,18.0414,18.0414,18.2299,2.37,2.37,2.59,0.76,1.03,1.6,1.61,1.34,0.9899999999999998,-0.3000000000000007,0.0029875730264836697,0.00635039223010847,0.009999999999999787,-0.12,0.12999999999999967,5.800000000000001,18.023466666666668,5.533333333333334,18.059383333333333,-0.20000000000000107,0.07183333333333408
1954-07-01,26.86,2.3,18.1222,0.72,5.8,0,1.5799999999999998,5.6,5.9,4.9,26.94,26.86,26.94,18.0953,17.9337,18.0953,2.38,2.29,2.48,0.64,0.97,1.18,1.7399999999999998,1.32,1.3,0.20000000000000018,0.0014865738617209079,0.0026129152668905586,-0.08000000000000007,0.07999999999999996,-0.15999999999999992,5.766666666666667,18.086299999999998,5.683333333333334,18.063866666666666,0.033333333333333215,0.0359000000000016
1954-08-01,26.85,2.36,18.0953,0.92,6.0,0,1.44,5.8,5.9,5.2,26.86,26.93,26.99,18.1222,18.0414,18.1492,2.3,2.37,2.47,0.72,0.76,0.97,1.5799999999999998,1.61,1.5000000000000002,0.20000000000000018,-0.0014843672401804175,0.0,0.06000000000000005,0.20000000000000007,-0.1399999999999999,5.8,18.10426666666667,5.816666666666666,18.054883333333333,0.20000000000000018,-0.008966666666669454
1954-09-01,26.81,2.38,18.1222,1.01,6.1,0,1.3699999999999999,6.0,5.6,5.7,26.85,26.94,26.93,18.0953,18.0953,18.0414,2.36,2.38,2.37,0.92,0.64,1.03,1.44,1.7399999999999998,1.34,0.09999999999999964,0.0014865738617209079,-0.002975083674228385,0.020000000000000018,0.08999999999999997,-0.07000000000000006,5.966666666666666,18.11323333333333,5.883333333333333,18.068350000000002,0.13333333333333375,0.008966666666669454
1954-10-01,26.72,2.43,18.3377,0.98,5.7,0,1.4500000000000002,6.1,5.8,5.9,26.81,26.86,26.86,18.1222,18.1222,17.9337,2.38,2.3,2.29,1.01,0.72,0.97,1.3699999999999999,1.5799999999999998,1.32,-0.39999999999999947,0.011891492202933618,-0.008534322820037077,0.050000000000000266,-0.030000000000000027,0.0800000000000003,5.933333333333334,18.185066666666668,5.8500000000000005,18.135683333333336,-0.2333333333333334,0.15263333333333406
1954-11-01,26.78,2.48,18.6338,0.93,5.3,0,1.5499999999999998,5.7,6.0,5.9,26.72,26.85,26.93,18.3377,18.0953,18.0414,2.43,2.36,2.37,0.98,0.92,0.76,1.4500000000000002,1.44,1.61,-0.40000000000000036,0.01614706315404879,-0.0026070763500931626,0.04999999999999982,-0.04999999999999993,0.09999999999999964,5.7,18.36456666666667,5.75,18.234416666666664,-0.40000000000000036,0.2692333333333323
1954-12-01,26.77,2.51,18.8762,1.15,5.0,0,1.3599999999999999,5.3,6.1,5.6,26.78,26.81,26.94,18.6338,18.1222,18.0953,2.48,2.38,2.38,0.93,1.01,0.64,1.5499999999999998,1.3699999999999999,1.7399999999999998,-0.2999999999999998,0.01300861874657877,-0.0037216226274656705,0.029999999999999805,0.21999999999999986,-0.18999999999999995,5.333333333333333,18.6159,5.6499999999999995,18.36456666666667,-0.33333333333333304,0.26030000000000086
1955-01-01,26.77,2.61,19.307,1.22,4.9,0,1.39,5.0,5.7,5.8,26.77,26.72,26.86,18.8762,18.3377,18.1222,2.51,2.43,2.3,1.15,0.98,0.72,1.3599999999999999,1.4500000000000002,1.5799999999999998,-0.09999999999999964,0.022822390099702217,-0.006310319227913919,0.10000000000000009,0.07000000000000006,0.030000000000000027,5.066666666666667,18.939,5.5,18.562033333333332,-0.16666666666666696,0.36799999999999855
1955-02-01,26.82,2.65,19.5494,1.17,4.7,0,1.48,4.9,5.3,6.0,26.77,26.78,26.85,19.307,18.6338,18.0953,2.61,2.48,2.36,1.22,0.93,0.92,1.39,1.5499999999999998,1.44,-0.20000000000000018,0.012555031853731746,-0.006298629121896937,0.040000000000000036,-0.050000000000000044,0.09000000000000008,4.866666666666667,19.2442,5.283333333333333,18.804383333333334,-0.16666666666666696,0.30519999999999925
1955-03-01,26.79,2.68,20.0071,1.28,4.6,0,1.4000000000000001,4.7,5.0,6.1,26.82,26.77,26.81,19.5494,18.8762,18.1222,2.65,2.51,2.38,1.17,1.15,1.01,1.48,1.3599999999999999,1.3699999999999999,-0.10000000000000053,0.023412483247567728,-0.00519866320089124,0.03000000000000025,0.1100000000000001,-0.07999999999999985,4.733333333333334,19.621166666666664,5.033333333333334,19.118533333333332,-0.13333333333333464,0.38593333333333746
1955-04-01,26.79,2.75,20.2495,1.59,4.7,0,1.16,4.6,4.9,5.7,26.79,26.77,26.72,20.0071,19.307,18.3377,2.68,2.61,2.43,1.28,1.22,0.98,1.4000000000000001,1.39,1.4500000000000002,0.10000000000000053,0.012115698926880913,-0.002606105733432673,0.06999999999999984,0.31000000000000005,-0.2400000000000002,4.666666666666667,19.935333333333332,4.866666666666666,19.437166666666666,0.033333333333333215,0.3141666666666687
1955-05-01,26.77,2.76,20.5726,1.45,4.3,0,1.3099999999999998,4.7,4.7,5.3,26.79,26.82,26.78,20.2495,19.5494,18.6338,2.75,2.65,2.48,1.59,1.17,0.93,1.16,1.48,1.5499999999999998,-0.40000000000000036,0.015955949529617985,-0.005941329372447068,0.009999999999999787,-0.14000000000000012,0.1499999999999999,4.533333333333334,20.2764,4.7,19.7603,-0.23333333333333428,0.29620000000000246
