date,cpi,gs10,indpro,tb3ms,unrate,usrec
1953-04-01,26.69,2.83,19.5494,2.19,2.7,0
1953-05-01,26.7,3.05,19.6571,2.16,2.5,0
1953-06-01,26.77,3.11,19.5763,2.11,2.5,0
1953-07-01,26.79,2.93,19.8187,2.04,2.6,0
1953-08-01,26.85,2.95,19.7109,2.04,2.7,1
1953-09-01,26.89,2.87,19.307,1.79,2.9,1
1953-10-01,26.95,2.66,19.1455,1.38,3.1,1
1953-11-01,26.85,2.68,18.6877,1.44,3.5,1
1953-12-01,26.87,2.59,18.2299,1.6,4.5,1
1954-01-01,26.94,2.48,18.0953,1.18,4.9,1
1954-02-01,26.99,2.47,18.1492,0.97,5.2,1
1954-03-01,26.93,2.37,18.0414,1.03,5.7,1
1954-04-01,26.86,2.29,17.9337,0.97,5.9,1
1954-05-01,26.93,2.37,18.0414,0.76,5.9,1
1954-06-01,26.94,2.38,18.0953,0.64,5.6,0
1954-07-01,26.86,2.3,18.1222,0.72,5.8,0
1954-08-01,26.85,2.36,18.0953,0.92,6.0,0
1954-09-01,26.81,2.38,18.1222,1.01,6.1,0
1954-10-01,26.72,2.43,18.3377,0.98,5.7,0
1954-11-01,26.78,2.48,18.6338,0.93,5.3,0
1954-12-01,26.77,2.51,18.8762,1.15,5.0,0
1955-01-01,26.77,2.61,19.307,1.22,4.9,0
1955-02-01,26.82,2.65,19.5494,1.17,4.7,0
1955-03-01,26.79,2.68,20.0071,1.28,4.6,0
1955-04-01,26.79,2.75,20.2495,1.59,4.7,0
1955-05-01,26.77,2.76,20.5726,1.45,4.3,0
1955-06-01,26.71,2.78,20.5996,1.41,4.2,0
1955-07-01,26.76,2.9,20.7611,1.6,4.0,0
1955-08-01,26.72,2.97,20.7342,1.9,4.2,0
1955-09-01,26.85,2.97,20.8688,2.07,4.1,0
1955-10-01,26.82,2.88,21.2189,2.23,4.3,0
1955-11-01,26.88,2.89,21.2727,2.24,4.2,0
1955-12-01,26.87,2.96,21.3535,2.54,4.2,0
1956-01-01,26.83,2.9,21.4882,2.41,4.0,0
1956-02-01,26.86,2.84,21.2997,2.32,3.9,0
1956-03-01,26.89,2.96,21.2997,2.25,4.2,0
1956-04-01,26.93,3.18,21.4612,2.6,4.0,0
1956-05-01,27.03,3.07,21.2728,2.61,4.3,0
1956-06-01,27.15,3.0,21.0843,2.49,4.3,0
1956-07-01,27.29,3.11,20.438,2.31,4.4,0
1956-08-01,27.31,3.33,21.2727,2.6,4.1,0
1956-09-01,27.35,3.38,21.7574,2.84,3.9,0
1956-10-01,27.51,3.34,21.9459,2.9,3.9,0
1956-11-01,27.51,3.49,21.7574,2.99,4.3,0
1956-12-01,27.63,3.59,22.0806,3.21,4.2,0
1957-01-01,27.67,3.46,21.9998,3.11,4.2,0
1957-02-01,27.8,3.34,22.2152,3.1,3.9,0
1957-03-01,27.86,3.41,22.1883,3.08,3.7,0
1957-04-01,27.93,3.48,21.8921,3.07,3.9,0
1957-05-01,28.0,3.6,21.8113,3.06,4.1,0
1957-06-01,28.11,3.8,21.8652,3.29,4.3,0
1957-07-01,28.19,3.93,21.9998,3.16,4.2,0
1957-08-01,28.28,3.93,21.9998,3.37,4.1,0
1957-09-01,28.32,3.92,21.8113,3.53,4.4,1
1957-10-01,28.32,3.97,21.4882,3.58,4.5,1
1957-11-01,28.41,3.72,20.9765,3.31,5.1,1
1957-12-01,28.47,3.21,20.5726,3.04,5.2,1
1958-01-01,28.64,3.09,20.1956,2.44,5.8,1
1958-02-01,28.7,3.05,19.7648,1.53,6.4,1
1958-03-01,28.87,2.98,19.5225,1.3,6.7,1
1958-04-01,28.94,2.88,19.1993,1.13,7.4,1
1958-05-01,28.94,2.92,19.3878,0.91,7.4,0
1958-06-01,28.91,2.97,19.8994,0.83,7.3,0
1958-07-01,28.89,3.2,20.1956,0.91,7.5,0
1958-08-01,28.94,3.54,20.5995,1.69,7.4,0
1958-09-01,28.91,3.76,20.7881,2.44,7.1,0
1958-10-01,28.91,3.8,21.0304,2.63,6.7,0
1958-11-01,28.95,3.74,21.6497,2.67,6.2,0
1958-12-01,28.97,3.86,21.6767,2.77,6.2,0
1959-01-01,29.01,4.02,21.9998,2.82,6.0,0
1959-02-01,29.0,3.96,22.4306,2.7,5.9,0
