Merge_Name,Median_Income,Labor_Force_Pct,Manufacturing_Pct
adams,64962,65.3,13.1
alexander,43523,47.6,11.2
bond,61603,54.4,12.1
boone,81638,65.9,22.7
brown,72288,42.6,7.2
bureau,65894,62.5,15.1
calhoun,92095,53.3,6.4
carroll,60871,52.9,22.1
cass,64907,59.3,21.8
champaign,63091,61.3,8.0
christian,59253,55.8,10.2
clark,70625,59.7,20.1
clay,57266,56.6,24.4
clinton,82314,62.8,10.0
coles,56040,62.5,12.9
cook,81797,66.2,9.4
crawford,67614,54.8,18.3
cumberland,69826,67.2,15.7
dekalb,69022,69.1,11.6
dewitt,64802,62.2,15.7
douglas,74186,64.4,23.4
dupage,110502,68.4,12.2
edgar,56909,56.5,20.8
edwards,59386,58.4,25.8
effingham,75380,64.8,15.2
fayette,57113,53.4,10.8
ford,60782,61.2,10.4
franklin,53471,56.2,13.0
fulton,58617,55.7,13.1
gallatin,54626,57.7,12.5
greene,60976,58.4,11.5
grundy,93060,68.2,12.2
hamilton,61520,56.9,11.4
hancock,65044,60.0,14.5
hardin,57155,39.4,8.0
henderson,65651,57.6,17.7
henry,69912,62.4,16.5
iroquois,62439,58.9,12.1
jackson,45572,56.7,6.9
jasper,71094,65.8,13.5
jefferson,61102,58.4,16.9
jersey,79104,59.4,12.3
jodaviess,74954,61.8,18.0
johnson,65203,41.8,8.0
kane,100678,69.5,15.4
kankakee,68325,61.5,13.9
kendall,110474,72.8,9.9
knox,53291,53.8,8.3
lake,108917,68.5,15.7
lasalle,72281,62.3,15.6
lawrence,53438,51.4,15.0
lee,68459,56.3,17.0
livingston,70796,59.6,15.3
logan,64188,55.9,10.1
mcdonough,50434,62.3,11.2
mchenry,102836,69.9,15.6
mclean,78329,64.3,7.4
macon,62449,57.8,18.0
macoupin,68518,57.1,11.7
madison,74800,63.1,11.7
marion,60839,60.0,17.9
marshall,69818,56.0,19.8
mason,62127,56.8,10.9
massac,62584,54.8,7.2
menard,81334,60.8,5.0
mercer,71710,60.2,13.5
monroe,101635,68.5,10.3
montgomery,61863,52.3,9.6
morgan,65175,56.5,11.8
moultrie,71676,60.5,21.4
ogle,79244,63.0,18.2
peoria,64938,62.2,14.5
perry,59286,49.3,10.2
piatt,87516,64.7,8.1
pike,58029,58.6,9.8
pope,62500,42.9,3.4
pulaski,43227,44.8,13.0
putnam,77526,61.1,15.7
randolph,68870,54.0,15.4
richland,60404,62.1,15.3
rockisland,66768,61.5,16.2
stclair,70178,63.4,8.9
saline,54945,54.9,9.7
sangamon,74114,61.7,5.6
schuyler,66059,52.7,10.6
scott,73013,58.6,15.6
shelby,68457,61.0,14.6
stark,62284,58.1,15.2
stephenson,61943,60.0,18.7
tazewell,76704,62.3,14.7
union,56420,51.1,7.4
vermilion,54537,55.5,15.8
wabash,53650,57.2,17.6
warren,64650,62.3,14.2
washington,75652,63.8,16.4
wayne,53107,56.8,13.8
white,53097,53.4,15.8
whiteside,64536,62.2,19.4
will,107799,68.5,10.9
williamson,65521,58.3,8.3
winnebago,64363,61.9,19.6
woodford,85629,63.2,15.3
