Merge_Name,Median_Age
adams,41.1
alexander,40.4
bond,40.9
boone,48.5
brown,38.1
bureau,42.7
calhoun,41.5
carroll,38.2
cass,42.4
champaign,32.6
christian,38.9
clark,46.4
clay,39.5
clinton,42.5
coles,43.7
cook,43.1
crawford,43.5
cumberland,55.0
dekalb,43.4
dewitt,32.9
douglas,41.1
dupage,50.9
edgar,38.6
edwards,36.0
effingham,38.9
fayette,40.6
ford,41.9
franklin,35.1
fulton,34.2
gallatin,44.3
greene,41.3
grundy,45.5
hamilton,42.8
hancock,42.5
hardin,41.5
henderson,42.0
henry,42.2
iroquois,42.9
jackson,42.7
jasper,43.0
jefferson,40.3
jersey,43.2
jodaviess,48.8
johnson,45.5
kane,45.2
kankakee,44.3
kendall,43.0
knox,44.2
lake,44.4
lasalle,38.9
lawrence,39.7
lee,
livingston,
logan,
mcdonough,
mchenry,
mclean,
macon,
macoupin,
madison,
marion,
marshall,
mason,
massac,
menard,
mercer,
monroe,
montgomery,
morgan,
moultrie,
ogle,
peoria,
perry,
piatt,
pike,
pope,
pulaski,
putnam,
randolph,
richland,
rockisland,
stclair,
saline,
sangamon,
schuyler,
scott,
shelby,
stark,
stephenson,
tazewell,
union,
vermilion,
wabash,
warren,
washington,
wayne,
white,
whiteside,
will,
williamson,
winnebago,
woodford,
