"Label (Grouping)","Adams County, Illinois","Alexander County, Illinois","Bond County, Illinois","Boone County, Illinois","Brown County, Illinois","Bureau County, Illinois","Calhoun County, Illinois","Carroll County, Illinois","Cass County, Illinois","Champaign County, Illinois","Christian County, Illinois","Clark County, Illinois","Clay County, Illinois","Clinton County, Illinois","Coles County, Illinois","Cook County, Illinois","Crawford County, Illinois","Cumberland County, Illinois","DeKalb County, Illinois","De Witt County, Illinois","Douglas County, Illinois","DuPage County, Illinois","Edgar County, Illinois","Edwards County, Illinois","Effingham County, Illinois","Fayette County, Illinois","Ford County, Illinois","Franklin County, Illinois","Fulton County, Illinois","Gallatin County, Illinois","Greene County, Illinois","Grundy County, Illinois","Hamilton County, Illinois","Hancock County, Illinois","Hardin County, Illinois","Henderson County, Illinois","Henry County, Illinois","Iroquois County, Illinois","Jackson County, Illinois","Jasper County, Illinois","Jefferson County, Illinois","Jersey County, Illinois","Jo Daviess County, Illinois","Johnson County, Illinois","Kane County, Illinois","Kankakee County, Illinois","Kendall County, Illinois","Knox County, Illinois","Lake County, Illinois","LaSalle County, Illinois","Lawrence County, Illinois","Lee County, Illinois","Livingston County, Illinois","Logan County, Illinois","McDonough County, Illinois","McHenry County, Illinois","McLean County, Illinois","Macon County, Illinois","Macoupin County, Illinois","Madison County, Illinois","Marion County, Illinois","Marshall County, Illinois","Mason County, Illinois","Massac County, Illinois","Menard County, Illinois","Mercer County, Illinois","Monroe County, Illinois","Montgomery County, Illinois","Morgan County, Illinois","Moultrie County, Illinois","Ogle County, Illinois","Peoria County, Illinois","Perry County, Illinois","Piatt County, Illinois","Pike County, Illinois","Pope County, Illinois","Pulaski County, Illinois","Putnam County, Illinois","Randolph County, Illinois","Richland County, Illinois","Rock Island County, Illinois","St. Clair County, Illinois","Saline County, Illinois","Sangamon County, Illinois","Schuyler County, Illinois","Scott County, Illinois","Shelby County, Illinois","Stark County, Illinois","Stephenson County, Illinois","Tazewell County, Illinois","Union County, Illinois","Vermilion County, Illinois","Wabash County, Illinois","Warren County, Illinois","Washington County, Illinois","Wayne County, Illinois","White County, Illinois","Whiteside County, Illinois","Will County, Illinois","Williamson County, Illinois","Winnebago County, Illinois","Woodford County, Illinois"
"Total:","65,737","5,240","16,725","53,448","6,244","33,244","4,437","15,702","13,042","205,865","34,032","15,455","13,288","36,899","46,863","5,275,541","18,679","10,450","100,420","15,516","19,740","932,877","16,866","6,245","34,668","21,488","13,534","37,804","33,609","4,946","11,985","52,533","7,993","17,620","3,649","6,387","49,284","27,077","52,974","9,287","37,113","21,512","22,035","13,308","516,522","107,502","131,869","49,967","714,342","109,658","15,280","34,145","35,815","27,987","27,238","310,229","170,954","103,998","44,967","265,859","37,729","11,742","13,086","14,169","12,297","15,699","34,962","28,288","32,915","14,526","51,788","181,830","20,945","16,673","14,739","3,763","5,193","5,637","30,163","15,813","144,672","257,400","23,768","196,343","6,902","4,949","20,990","5,400","44,630","131,343","17,244","74,188","11,361","16,835","13,761","16,179","13,877","55,691","696,355","67,153","285,350","38,467"
"    Hispanic or Latino","1,287","82","604","12,880","282","3,095","64","757","2,789","16,666","1,094","246","223","1,387","1,768","1,382,778","447","112","13,597","510","1,565","144,291","225","63","872","657","554","642","738","53","106","5,712","96","318","65","112","3,170","2,085","2,837","84","899","327","856","552","169,595","12,520","27,127","3,051","171,962","11,456","514","2,324","1,859","818","962","46,705","10,524","2,733","570","10,797","712","323","184","333","160","468","646","587","838","194","5,797","10,091","714","247","262","71","204","348","1,031","273","19,842","12,582","473","5,309","152","48","213","132","2,254","3,161","867","3,816","178","1,789","224","182","188","7,131","130,851","1,779","40,952","740"
"    Not Hispanic or Latino:","64,450","5,158","16,121","40,568","5,962","30,149","4,373","14,945","10,253","189,199","32,938","15,209","13,065","35,512","45,095","3,892,763","18,232","10,338","86,823","15,006","18,175","788,586","16,641","6,182","33,796","20,831","12,980","37,162","32,871","4,893","11,879","46,821","7,897","17,302","3,584","6,275","46,114","24,992","50,137","9,203","36,214","21,185","21,179","12,756","346,927","94,982","104,742","46,916","542,380","98,202","14,766","31,821","33,956","27,169","26,276","263,524","160,430","101,265","44,397","255,062","37,017","11,419","12,902","13,836","12,137","15,231","34,316","27,701","32,077","14,332","45,991","171,739","20,231","16,426","14,477","3,692","4,989","5,289","29,132","15,540","124,830","244,818","23,295","191,034","6,750","4,901","20,777","5,268","42,376","128,182","16,377","70,372","11,183","15,046","13,537","15,997","13,689","48,560","565,504","65,374","244,398","37,727"
"        Population of one race:","61,701","4,922","15,587","38,759","5,819","29,189","4,241","14,545","9,963","179,151","31,905","14,844","12,639","34,338","43,329","3,756,689","17,692","10,026","82,705","14,569","17,658","759,015","16,188","6,054","32,845","20,384","12,463","35,650","31,929","4,739","11,529","44,957","7,639","16,800","3,408","6,113","44,484","23,999","47,441","9,013","34,469","20,391","20,653","12,368","331,887","90,635","99,622","44,622","518,975","94,272","14,276","30,649","32,898","26,249","25,246","252,643","153,161","96,139","42,560","242,658","35,200","11,030","12,450","13,097","11,676","14,728","33,105","26,838","30,870","13,931","44,098","163,180","19,626","15,838","14,039","3,546","4,770","5,136","28,054","15,068","118,648","231,955","22,286","181,584","6,512","4,770","20,340","5,123","40,331","123,235","15,709","67,400","10,860","14,492","13,186","15,599","13,218","46,606","542,988","62,219","231,137","36,471"
"            White alone","58,389","3,274","14,264","36,689","4,764","28,511","4,217","13,743","9,061","125,280","31,226","14,680","12,481","32,845","40,352","2,135,243","16,941","9,947","71,249","14,370","17,420","591,441","16,005","5,994","32,361","19,425","12,265","35,210","30,616","4,683","11,451","43,472","7,574","16,599","3,374","6,060","43,094","23,602","37,513","8,934","31,182","20,105","20,354","10,895","282,307","73,591","84,690","39,615","408,349","90,445","12,777","28,435","31,518","24,452","23,062","238,659","129,440","75,117","41,850","213,793","33,150","10,858","12,339","12,077","11,502","14,578","32,680","25,709","28,489","13,747","43,120","120,629","17,779","15,600","13,874","3,491","3,245","5,073","25,460","14,813","97,689","150,496","21,309","150,467","6,157","4,747","20,116","5,070","35,405","119,882","15,331","56,186","10,520","13,494","12,976","15,400","13,007","45,341","418,418","58,193","183,235","35,844"
"            Black or African American alone","2,464","1,612","1,073","1,171","1,035","259","7","676","706","28,215","380","54","30","1,140","2,043","1,185,601","608","28","8,730","108","67","44,201","82","16","151","780","75","162","1,102","25","18","833","36","73","11","29","1,029","212","7,503","22","2,783","156","114","1,419","26,239","15,417","9,693","4,354","47,240","2,514","1,393","1,831","1,081","1,494","1,498","4,073","14,699","18,886","368","24,671","1,509","86","49","875","80","68","118","916","1,961","84","543","33,635","1,653","83","63","38","1,462","26","2,381","75","16,169","76,013","692","25,686","283","5","65","17","4,374","1,629","226","10,247","53","577","85","90","91","741","79,256","2,809","38,240","269"
"            American Indian and Alaska Native alone","92","22","52","72","7","49","4","49","36","279","59","28","33","80","82","5,655","36","13","119","19","28","873","17","8","36","80","24","92","59","5","13","48","16","38","0","5","63","38","114","19","77","21","31","20","514","173","117","73","909","153","12","30","38","48","47","325","258","178","109","559","94","18","24","35","18","26","53","49","54","26","72","342","34","23","33","1","36","7","48","28","240","490","69","349","28","1","35","8","80","279","46","140","15","31","25","26","22","60","711","230","559","42"
"            Asian alone","500","6","94","637","11","298","7","40","117","24,420","179","52","77","175","617","408,691","76","21","2,280","40","103","118,982","51","21","246","67","57","119","69","23","21","466","12","57","17","14","192","99","2,048","15","352","74","96","18","21,191","1,069","4,625","361","58,901","855","58","248","171","178","560","8,669","8,108","1,512","179","2,718","349","43","26","43","49","37","186","131","266","49","259","7,730","125","80","43","16","13","18","86","123","4,033","3,623","122","4,300","25","11","83","23","306","1,080","67","568","251","329","65","49","65","306","42,416","771","7,938","217"
"            Native Hawaiian and Other Pacific Islander alone","33","0","11","9","0","21","0","5","33","60","1","0","0","5","24","961","2","0","29","16","6","219","0","4","6","1","0","4","6","0","3","16","0","4","2","5","12","0","24","4","7","3","6","4","115","13","10","12","312","8","7","10","1","1","6","45","38","31","0","92","1","0","1","6","2","2","2","7","16","0","0","61","1","1","6","0","0","4","7","7","35","181","0","55","2","1","1","0","11","41","11","10","6","15","20","5","18","9","82","9","66","10"
"            Some Other Race alone","223","8","93","181","2","51","6","32","10","897","60","30","18","93","211","20,538","29","17","298","16","34","3,299","33","11","45","31","42","63","77","3","23","122","1","29","4","0","94","48","239","19","68","32","52","12","1,521","372","487","207","3,264","297","29","95","89","76","73","872","618","415","54","825","97","25","11","61","25","17","66","26","84","25","104","783","34","51","20","0","14","8","72","22","482","1,152","94","727","17","5","40","5","155","324","28","249","15","46","15","29","15","149","2,105","207","1,099","89"
