FIPS ,Name,2015,2016,2017,2018,2019,2020,2021,2022,2023,Median Household Income (2022),% of State Median HH Income
17009,"Brown County, IL",3.6,3.4,2.9,2.6,2.4,3.9,2.7,2.4,2.4,"$78,081.00",101.7%
17189,"Washington County, IL",3.8,3.8,3.0,2.9,2.5,5.3,3.1,2.5,2.8,"$71,958.00",93.8%
17133,"Monroe County, IL",4.4,4.1,3.4,3.4,2.9,5.6,3.2,2.9,3.1,"$100,487.00",130.9%
17049,"Effingham County, IL",4.8,4.8,3.8,3.7,3.1,6.6,4.0,3.1,3.2,"$74,800.00",97.5%
17027,"Clinton County, IL",4.5,4.5,3.5,3.5,3.0,5.9,3.6,3.1,3.3,"$79,612.00",103.7%
17043,"DuPage County, IL",4.8,4.8,4.0,3.2,3.0,7.6,4.5,3.5,3.4,"$102,383.00",133.4%
17185,"Wabash County, IL",5.7,6.3,5.2,5.0,4.1,9.7,4.8,3.5,3.4,"$63,777.00",83.1%
17035,"Cumberland County, IL",5.3,5.2,4.0,4.0,3.3,5.8,4.3,3.6,3.5,"$79,140.00",103.1%
17001,"Adams County, IL",5.0,4.8,3.9,3.8,3.3,6.4,4.0,3.5,3.6,"$61,747.00",80.5%
17041,"Douglas County, IL",4.9,4.7,4.1,4.0,3.4,5.7,3.9,3.4,3.6,"$67,796.00",88.3%
17139,"Moultrie County, IL",4.4,4.6,3.9,3.8,3.2,5.2,3.7,3.4,3.6,"$75,505.00",98.4%
17045,"Edgar County, IL",6.3,6.0,4.9,4.8,4.1,6.9,4.2,3.6,3.7,"$63,430.00",82.7%
17111,"McHenry County, IL",5.5,5.4,4.4,3.6,3.4,8.0,4.8,3.9,3.7,"$99,128.00",129.2%
17065,"Hamilton County, IL",5.5,6.2,4.5,4.4,3.7,7.1,4.7,3.6,3.8,"$56,984.00",74.3%
17093,"Kendall County, IL",5.3,5.2,4.4,3.6,3.4,8.0,4.7,3.9,3.8,"$102,509.00",133.6%
17147,"Piatt County, IL",4.9,4.9,4.1,4.2,3.5,5.5,4.2,3.6,3.8,"$85,430.00",111.3%
17083,"Jersey County, IL",6.3,5.8,4.8,4.8,4.2,7.5,4.4,3.7,3.9,"$72,363.00",94.3%
17113,"McLean County, IL",4.8,5.1,4.1,4.1,3.6,6.9,4.7,3.7,3.9,"$71,825.00",93.6%
17129,"Menard County, IL",4.8,4.7,4.2,4.1,3.7,6.5,4.3,3.7,3.9,"$78,115.00",101.8%
17151,"Pope County, IL",7.0,7.2,6.5,6.0,5.3,7.2,4.9,4.7,3.9,"$54,878.00",71.5%
17033,"Crawford County, IL",5.9,6.3,5.2,5.4,4.2,7.1,5.2,4.3,4.0,"$66,333.00",86.4%
17079,"Jasper County, IL",6.2,6.3,5.0,5.0,4.1,6.1,4.3,3.9,4.0,"$66,290.00",86.4%
17157,"Randolph County, IL",5.4,5.0,4.4,4.4,3.5,7.1,4.5,3.8,4.0,"$62,575.00",81.5%
17203,"Woodford County, IL",5.1,5.5,4.4,4.1,3.6,6.2,4.1,3.6,4.0,"$85,892.00",111.9%
