FIPS,Name,2023 Rural-urban Continuum Code*,1970,1980,1990,2000,2008-2012,2019-2023
17000,Illinois,,10.3%,16.2%,21.0%,26.1%,31.1%,37.2%
17001,"Adams, IL        ",5,7.2%,10.6%,13.7%,17.6%,21.0%,27.0%
17003,"Alexander, IL        ",3,3.4%,6.8%,7.8%,6.9%,8.9%,12.6%
17005,"Bond, IL        ",1,8.6%,11.2%,12.7%,15.0%,20.2%,21.2%
17007,"Boone, IL        ",2,7.3%,9.6%,12.0%,14.5%,19.9%,23.2%
17009,"Brown, IL        ",9,3.1%,7.7%,9.8%,9.2%,12.7%,15.1%
17011,"Bureau, IL        ",7,7.5%,10.6%,12.5%,15.7%,16.8%,21.4%
17013,"Calhoun, IL        ",1,2.4%,5.8%,7.0%,9.4%,14.6%,18.4%
17015,"Carroll, IL        ",9,7.3%,9.5%,10.6%,13.1%,15.8%,18.2%
17017,"Cass, IL        ",6,4.1%,8.1%,10.6%,12.6%,12.0%,20.0%
17019,"Champaign, IL        ",3,24.3%,30.0%,34.1%,38.0%,42.2%,46.6%
17021,"Christian, IL        ",6,5.5%,7.8%,9.3%,10.5%,13.0%,16.5%
17023,"Clark, IL        ",8,4.4%,7.7%,9.2%,13.6%,17.6%,24.3%
17025,"Clay, IL        ",9,3.5%,6.0%,7.6%,9.7%,13.9%,15.6%
17027,"Clinton, IL        ",1,4.6%,6.5%,9.2%,13.0%,19.8%,24.4%
17029,"Coles, IL        ",5,11.0%,16.4%,18.7%,20.8%,24.1%,27.1%
17031,"Cook, IL        ",1,10.9%,17.1%,22.8%,28.0%,34.3%,41.9%
17033,"Crawford, IL        ",6,5.5%,9.3%,9.5%,10.3%,15.6%,20.6%
17035,"Cumberland, IL        ",9,3.9%,7.6%,8.2%,10.1%,12.3%,18.6%
17037,"DeKalb, IL        ",1,17.0%,22.2%,26.1%,26.8%,29.0%,32.7%
17039,"De Witt, IL        ",6,6.3%,9.7%,11.8%,13.4%,17.1%,21.4%
17041,"Douglas, IL        ",8,7.3%,9.4%,11.4%,13.8%,15.6%,20.2%
17043,"DuPage, IL        ",1,20.1%,29.0%,36.0%,41.7%,45.9%,51.4%
17045,"Edgar, IL        ",6,5.6%,9.6%,11.0%,13.3%,16.0%,20.1%
17047,"Edwards, IL        ",9,2.5%,6.8%,8.4%,9.8%,11.4%,13.9%
17049,"Effingham, IL        ",7,5.9%,9.4%,13.0%,15.1%,19.3%,26.0%
17051,"Fayette, IL        ",6,3.8%,6.6%,8.5%,9.0%,13.9%,16.6%
17053,"Ford, IL        ",3,7.6%,8.6%,12.1%,13.9%,17.0%,19.4%
17055,"Franklin, IL        ",7,3.9%,6.7%,8.2%,11.3%,12.9%,17.1%
17057,"Fulton, IL        ",6,4.9%,7.8%,9.5%,11.4%,14.4%,17.6%
17059,"Gallatin, IL        ",8,3.4%,4.8%,7.4%,7.7%,9.8%,15.3%
17061,"Greene, IL        ",8,5.0%,7.2%,9.0%,10.1%,12.5%,16.3%
17063,"Grundy, IL        ",1,6.2%,9.7%,12.5%,15.2%,19.1%,24.2%
17065,"Hamilton, IL        ",9,3.8%,6.4%,7.6%,10.5%,14.6%,18.5%
17067,"Hancock, IL        ",9,6.5%,11.3%,14.4%,15.6%,18.4%,24.2%
17069,"Hardin, IL        ",9,4.4%,5.6%,7.0%,9.6%,12.3%,12.2%
17071,"Henderson, IL        ",9,4.8%,7.6%,9.5%,10.0%,15.3%,19.2%
17073,"Henry, IL        ",2,5.9%,11.1%,11.8%,15.7%,19.8%,24.3%
