FIPS,Name,2023 Rural-urban Continuum Code*,1970,1980,1990,2000,2008-2012,2019-2023
17000,Illinois,,47.4%,33.5%,23.8%,18.6%,13.0%,9.7%
17001,"Adams, IL        ",5,47.8%,35.8%,24.9%,16.3%,9.9%,6.5%
17003,"Alexander, IL        ",3,65.8%,53.0%,40.3%,33.0%,23.4%,13.3%
17005,"Bond, IL        ",1,55.5%,44.7%,30.7%,27.2%,12.9%,10.7%
17007,"Boone, IL        ",2,47.3%,33.2%,24.5%,19.2%,14.5%,14.4%
17009,"Brown, IL        ",9,60.4%,43.3%,31.1%,36.7%,18.1%,20.4%
17011,"Bureau, IL        ",7,47.3%,33.7%,23.4%,15.9%,11.1%,9.0%
17013,"Calhoun, IL        ",1,68.9%,53.2%,37.2%,20.1%,13.1%,6.6%
17015,"Carroll, IL        ",9,45.4%,34.7%,24.0%,16.7%,10.4%,12.3%
17017,"Cass, IL        ",6,52.2%,38.3%,27.7%,20.0%,18.4%,13.3%
17019,"Champaign, IL        ",3,30.0%,19.1%,12.5%,9.0%,6.7%,4.9%
17021,"Christian, IL        ",6,52.3%,37.7%,26.9%,19.0%,12.7%,9.1%
17023,"Clark, IL        ",8,56.4%,39.9%,28.7%,20.0%,11.5%,8.0%
17025,"Clay, IL        ",9,61.6%,49.1%,34.4%,24.1%,12.5%,12.3%
17027,"Clinton, IL        ",1,62.4%,44.7%,32.8%,22.6%,11.6%,8.0%
17029,"Coles, IL        ",5,47.0%,33.8%,23.9%,17.1%,10.8%,8.5%
17031,"Cook, IL        ",1,48.3%,35.7%,26.6%,22.3%,15.9%,11.7%
17033,"Crawford, IL        ",6,50.0%,35.4%,24.0%,20.7%,11.8%,11.8%
17035,"Cumberland, IL        ",9,60.3%,43.2%,27.8%,19.8%,10.9%,6.1%
17037,"DeKalb, IL        ",1,35.9%,24.8%,16.1%,12.5%,8.9%,7.6%
17039,"De Witt, IL        ",6,49.3%,34.6%,25.4%,16.5%,8.6%,7.2%
17041,"Douglas, IL        ",8,44.3%,33.6%,26.0%,20.7%,15.6%,13.9%
17043,"DuPage, IL        ",1,28.0%,16.9%,11.4%,10.0%,8.1%,6.8%
17045,"Edgar, IL        ",6,48.6%,38.1%,26.5%,18.6%,12.7%,9.9%
17047,"Edwards, IL        ",9,56.3%,41.1%,30.3%,17.7%,11.6%,8.1%
17049,"Effingham, IL        ",7,54.2%,37.6%,25.0%,16.6%,9.5%,6.8%
17051,"Fayette, IL        ",6,62.0%,47.0%,31.2%,27.8%,15.3%,12.7%
17053,"Ford, IL        ",3,39.7%,30.7%,22.8%,14.0%,12.0%,8.1%
17055,"Franklin, IL        ",7,64.0%,47.8%,33.3%,23.3%,13.2%,10.8%
17057,"Fulton, IL        ",6,50.4%,37.5%,26.2%,21.7%,14.9%,9.1%
17059,"Gallatin, IL        ",8,69.4%,54.2%,41.6%,26.4%,21.1%,13.6%
17061,"Greene, IL        ",8,54.2%,43.2%,31.0%,21.1%,13.8%,9.6%
17063,"Grundy, IL        ",1,44.9%,33.3%,21.0%,13.1%,8.9%,5.8%
17065,"Hamilton, IL        ",9,69.1%,53.0%,40.0%,25.7%,16.9%,11.0%
17067,"Hancock, IL        ",9,43.3%,32.0%,22.5%,14.3%,8.9%,6.0%
17069,"Hardin, IL        ",9,69.0%,58.0%,40.3%,31.9%,18.3%,11.5%
17071,"Henderson, IL        ",9,47.5%,37.9%,26.7%,17.6%,12.4%,7.9%
17073,"Henry, IL        ",2,48.4%,32.2%,22.8%,15.5%,11.5%,7.9%
17075,"Iroquois, IL        ",8,49.4%,36.5%,26.6%,19.7%,12.3%,10.9%
17077,"Jackson, IL        ",5,43.7%,30.3%,21.2%,14.8%,9.4%,7.9%
17079,"Jasper, IL        ",9,62.1%,45.5%,30.3%,17.4%,8.8%,6.9%
17081,"Jefferson, IL        ",7,59.0%,43.7%,30.1%,23.0%,13.1%,8.6%
17083,"Jersey, IL        ",1,57.9%,40.7%,28.1%,17.5%,11.8%,6.3%
17085,"Jo Daviess, IL        ",8,50.6%,35.3%,25.9%,16.4%,9.1%,6.6%
17087,"Johnson, IL        ",8,59.6%,46.9%,33.8%,32.9%,18.3%,14.1%
17089,"Kane, IL        ",1,43.5%,29.4%,22.3%,19.8%,16.9%,13.0%
17091,"Kankakee, IL        ",3,50.9%,39.0%,26.9%,20.2%,14.4%,9.0%
17093,"Kendall, IL        ",1,34.9%,23.1%,16.3%,10.1%,7.4%,6.4%
17095,"Knox, IL        ",4,43.3%,31.6%,23.4%,18.2%,14.1%,10.7%
17097,"Lake, IL        ",1,36.9%,22.4%,15.3%,13.4%,11.3%,9.4%
17099,"LaSalle, IL        ",4,50.0%,37.9%,26.9%,18.6%,11.8%,8.6%
17101,"Lawrence, IL        ",9,51.1%,38.1%,30.8%,18.7%,22.3%,14.9%
17103,"Lee, IL        ",6,47.3%,32.2%,23.7%,19.8%,13.8%,9.5%
17105,"Livingston, IL        ",6,47.3%,36.7%,25.9%,21.9%,15.1%,9.7%
17107,"Logan, IL        ",6,48.8%,33.6%,24.1%,19.6%,15.1%,8.5%
17109,"McDonough, IL        ",7,38.4%,25.6%,19.7%,13.1%,8.6%,5.7%
17111,"McHenry, IL        ",1,43.3%,25.1%,15.5%,10.8%,7.8%,6.3%
17113,"McLean, IL        ",3,39.1%,24.0%,15.3%,9.3%,5.8%,4.2%
17115,"Macon, IL        ",3,47.0%,31.5%,23.8%,16.8%,12.5%,7.0%
17117,"Macoupin, IL        ",1,55.9%,39.7%,27.2%,17.9%,11.4%,9.2%
17119,"Madison, IL        ",1,53.0%,37.2%,24.2%,15.7%,9.4%,6.3%
17121,"Marion, IL        ",7,56.8%,43.6%,29.9%,20.9%,14.2%,9.7%
17123,"Marshall, IL        ",2,44.5%,32.3%,22.2%,15.0%,9.0%,9.0%
17125,"Mason, IL        ",8,52.5%,39.7%,27.4%,20.1%,15.1%,7.9%
17127,"Massac, IL        ",3,61.4%,46.9%,34.7%,23.5%,15.1%,10.7%
17129,"Menard, IL        ",3,50.2%,33.0%,22.7%,11.7%,8.2%,5.8%
17131,"Mercer, IL        ",2,44.6%,32.5%,22.6%,15.1%,10.9%,6.7%
17133,"Monroe, IL        ",1,58.1%,40.2%,24.1%,12.8%,7.1%,4.2%
17135,"Montgomery, IL        ",6,53.4%,42.0%,27.8%,22.9%,15.1%,10.0%
17137,"Morgan, IL        ",4,45.0%,32.5%,24.1%,20.1%,11.9%,10.4%
17139,"Moultrie, IL        ",8,54.5%,40.9%,29.7%,21.2%,16.4%,14.3%
17141,"Ogle, IL        ",6,44.0%,33.2%,22.4%,16.9%,11.6%,9.0%
17143,"Peoria, IL        ",2,46.3%,30.7%,22.1%,16.2%,10.3%,6.6%
17145,"Perry, IL        ",7,61.9%,45.0%,32.2%,27.7%,15.8%,14.7%
17147,"Piatt, IL        ",3,42.2%,30.0%,17.0%,11.3%,7.3%,4.0%
17149,"Pike, IL        ",9,51.0%,38.7%,30.1%,20.4%,14.9%,8.2%
17151,"Pope, IL        ",8,70.2%,51.2%,34.8%,24.2%,12.2%,8.3%
17153,"Pulaski, IL        ",8,68.2%,53.1%,40.2%,29.3%,21.0%,12.6%
17155,"Putnam, IL        ",8,47.9%,34.2%,24.2%,16.2%,12.8%,6.4%
17157,"Randolph, IL        ",6,62.8%,44.6%,35.8%,28.7%,19.0%,12.1%
17159,"Richland, IL        ",7,51.8%,39.9%,26.5%,16.6%,10.5%,8.1%
17161,"Rock Island, IL        ",2,45.0%,30.3%,22.6%,17.4%,12.9%,9.8%
17163,"St. Clair, IL        ",1,57.4%,40.9%,27.4%,19.1%,10.9%,7.3%
17165,"Saline, IL        ",7,62.9%,49.3%,36.8%,23.9%,16.1%,11.2%
17167,"Sangamon, IL        ",3,43.4%,27.6%,18.2%,11.9%,8.1%,6.3%
17169,"Schuyler, IL        ",9,50.1%,39.3%,30.6%,16.4%,10.5%,8.0%
17171,"Scott, IL        ",9,59.4%,39.7%,26.4%,16.9%,11.3%,6.8%
17173,"Shelby, IL        ",8,54.7%,39.3%,27.3%,17.1%,11.1%,5.5%
17175,"Stark, IL        ",2,42.0%,31.3%,23.0%,16.6%,11.4%,8.3%
17177,"Stephenson, IL        ",4,46.0%,32.5%,23.3%,15.9%,10.7%,8.5%
17179,"Tazewell, IL        ",2,46.7%,31.3%,21.4%,15.0%,8.8%,6.0%
